date,equity
2021-02-17,1.445076471427497
2021-02-18,1.445076471427497
2021-02-19,1.445076471427497
2021-02-20,1.445076471427497
2021-02-21,1.445076471427497
2021-02-22,1.4595272361417722
2021-02-23,1.4595272361417722
2021-02-24,1.4595272361417722
2021-02-25,1.4595272361417722
2021-02-26,1.4595272361417722
2021-02-27,1.4595272361417722
2021-02-28,1.4595272361417722
2021-03-01,1.4595272361417722
2021-03-02,1.47412250850319
2021-03-03,1.47412250850319
2021-03-04,1.47412250850319
2021-03-05,1.4888637335882218
2021-03-06,1.4888637335882218
2021-03-07,1.4888637335882218
2021-03-08,1.503752370924104
2021-03-09,1.503752370924104
2021-03-10,1.503752370924104
2021-03-11,1.503752370924104
2021-03-12,1.503752370924104
2021-03-13,1.5187898946333451
2021-03-14,1.5187898946333451
2021-03-15,1.5187898946333451
2021-03-16,1.5187898946333451
2021-03-17,1.5187898946333451
2021-03-18,1.5187898946333451
2021-03-19,1.5187898946333451
2021-03-20,1.5187898946333451
2021-03-21,1.5339777935796786
2021-03-22,1.5339777935796786
2021-03-23,1.5339777935796786
2021-03-24,1.5493175715154754
2021-03-25,1.5493175715154754
2021-03-26,1.5493175715154754
2021-03-27,1.5493175715154754
2021-03-28,1.5493175715154754
2021-03-29,1.5648107472306303
2021-03-30,1.5648107472306303
2021-03-31,1.5648107472306303
2021-04-01,1.5648107472306303
2021-04-02,1.5648107472306303
2021-04-03,1.5804588547029366
2021-04-04,1.5804588547029366
2021-04-05,1.5804588547029366
2021-04-06,1.5757174781388277
2021-04-07,1.5757174781388277
2021-04-08,1.5757174781388277
2021-04-09,1.5757174781388277
2021-04-10,1.5757174781388277
2021-04-11,1.5757174781388277
2021-04-12,1.5757174781388277
2021-04-13,1.5757174781388277
2021-04-14,1.5757174781388277
2021-04-15,1.5757174781388277
2021-04-16,1.5757174781388277
2021-04-17,1.5757174781388277
2021-04-18,1.5757174781388277
2021-04-19,1.5757174781388277
2021-04-20,1.5757174781388277
2021-04-21,1.5757174781388277
2021-04-22,1.5757174781388277
2021-04-23,1.5757174781388277
2021-04-24,1.5757174781388277
2021-04-25,1.5757174781388277
2021-04-26,1.5757174781388277
2021-04-27,1.5757174781388277
2021-04-28,1.5757174781388277
2021-04-29,1.570990325704411
2021-04-30,1.570990325704411
2021-05-01,1.570990325704411
2021-05-02,1.5867002289614551
2021-05-03,1.5867002289614551
2021-05-04,1.5819401282745709
2021-05-05,1.5819401282745709
2021-05-06,1.5819401282745709
2021-05-07,1.5819401282745709
2021-05-08,1.5977595295573166
2021-05-09,1.5977595295573166
2021-05-10,1.5977595295573166
2021-05-11,1.5977595295573166
2021-05-12,1.5929662509686446
2021-05-13,1.5929662509686446
2021-05-14,1.5929662509686446
2021-05-15,1.5881873522157386
2021-05-16,1.5881873522157386
2021-05-17,1.5881873522157386
2021-05-18,1.5834227901590914
2021-05-19,1.5834227901590914
2021-05-20,1.5834227901590914
2021-05-21,1.5786725217886142
2021-05-22,1.5786725217886142
2021-05-23,1.5786725217886142
2021-05-24,1.5786725217886142
2021-05-25,1.5786725217886142
2021-05-26,1.5944592470065004
2021-05-27,1.5944592470065004
2021-05-28,1.6104038394765654
2021-05-29,1.6104038394765654
2021-05-30,1.6104038394765654
2021-05-31,1.6055726279581357
2021-06-01,1.6055726279581357
2021-06-02,1.6007559100742612
2021-06-03,1.6007559100742612
2021-06-04,1.5959536423440384
2021-06-05,1.5959536423440384
2021-06-06,1.5959536423440384
2021-06-07,1.6119131787674787
2021-06-08,1.6119131787674787
2021-06-09,1.6119131787674787
2021-06-10,1.6119131787674787
2021-06-11,1.6070774392311764
2021-06-12,1.6070774392311764
2021-06-13,1.6231482136234883
2021-06-14,1.6231482136234883
2021-06-15,1.6182787689826177
2021-06-16,1.6182787689826177
2021-06-17,1.6182787689826177
2021-06-18,1.6134239326756699
2021-06-19,1.6134239326756699
2021-06-20,1.6134239326756699
2021-06-21,1.6134239326756699
2021-06-22,1.6134239326756699
2021-06-23,1.6295581720024266
2021-06-24,1.6295581720024266
2021-06-25,1.6295581720024266
2021-06-26,1.6246694974864193
2021-06-27,1.6246694974864193
2021-06-28,1.61979548899396
2021-06-29,1.61979548899396
2021-06-30,1.61979548899396
2021-07-01,1.61979548899396
2021-07-02,1.6359934438838997
2021-07-03,1.6359934438838997
2021-07-04,1.6523533783227387
2021-07-05,1.6523533783227387
2021-07-06,1.6523533783227387
2021-07-07,1.6688769121059661
2021-07-08,1.6688769121059661
2021-07-09,1.6688769121059661
2021-07-10,1.6688769121059661
2021-07-11,1.6688769121059661
2021-07-12,1.6638702813696482
2021-07-13,1.6638702813696482
2021-07-14,1.6588786705255392
2021-07-15,1.6588786705255392
2021-07-16,1.6588786705255392
2021-07-17,1.6588786705255392
2021-07-18,1.6588786705255392
2021-07-19,1.6588786705255392
2021-07-20,1.6588786705255392
2021-07-21,1.6588786705255392
2021-07-22,1.6588786705255392
2021-07-23,1.6588786705255392
2021-07-24,1.6588786705255392
2021-07-25,1.6588786705255392
2021-07-26,1.6588786705255392
2021-07-27,1.6588786705255392
2021-07-28,1.6588786705255392
2021-07-29,1.6588786705255392
2021-07-30,1.6588786705255392
2021-07-31,1.6588786705255392
2021-08-01,1.6588786705255392
2021-08-02,1.6588786705255392
2021-08-03,1.6588786705255392
2021-08-04,1.6588786705255392
2021-08-05,1.6588786705255392
2021-08-06,1.6588786705255392
2021-08-07,1.6588786705255392
2021-08-08,1.6588786705255392
2021-08-09,1.6588786705255392
2021-08-10,1.6588786705255392
2021-08-11,1.6588786705255392
2021-08-12,1.6588786705255392
2021-08-13,1.6588786705255392
2021-08-14,1.6588786705255392
2021-08-15,1.6588786705255392
2021-08-16,1.6588786705255392
2021-08-17,1.6588786705255392
2021-08-18,1.6588786705255392
2021-08-19,1.6588786705255392
2021-08-20,1.6588786705255392
2021-08-21,1.6588786705255392
2021-08-22,1.6588786705255392
